pincode,city,delivery_model,platform,zone_type,weekly_earnings,deliveries_per_day,is_part_time,earnings_consistency,experience_months,multi_platform,cold_chain,flood_risk,heat_risk,aqi_risk,cyclone_risk,coastal_zone,seasonal_index,month,no_claim_weeks,no_claim_discount,weekly_premium,max_weekly_payout
462003,Bhopal,same_day,Tata1mg,residential,4192,9,0,0.801,4,0,1,0.381,0.727,0.464,0.023,0,0.716,6,0,0.0,102.77,629.0
500081,Hyderabad,same_day,Tata1mg,commercial,3555,5,0,0.526,1,0,1,0.42,0.688,0.484,0.084,0,0.862,8,3,0.09,91.2,533.0
110051,Delhi,same_day,Tata1mg,commercial,4254,6,0,0.935,7,1,0,0.722,0.908,0.978,0.034,0,0.976,6,1,0.03,103.58,638.0
400053,Mumbai,hyperlocal,Apollo24x7,residential,5308,16,0,0.777,3,0,0,0.6,0.434,0.549,0.284,0,0.332,1,2,0.06,105.73,796.0
400064,Mumbai,same_day,PharmEasy,hospital_adjacent,4713,8,0,0.771,2,1,0,0.894,0.52,0.663,0.293,0,0.336,11,2,0.06,93.79,707.0
400068,Mumbai,hyperlocal,Apollo24x7,residential,5247,13,0,0.75,1,0,1,0.707,0.497,0.595,0.307,0,0.404,12,2,0.06,130.53,787.0
110018,Delhi,hyperlocal,Apollo24x7,residential,5590,10,0,0.528,15,1,1,0.32,0.889,0.891,0.081,0,0.69,5,4,0.12,133.05,800.0
302003,Jaipur,same_day,Tata1mg,hospital_adjacent,4488,10,0,0.773,29,0,0,0.132,0.872,0.538,0.038,0,0.795,8,2,0.06,85.7,673.0
600020,Chennai,hyperlocal,PhonePePincode,commercial,6129,13,0,0.689,38,0,0,0.826,0.806,0.53,0.573,1,0.154,3,4,0.12,178.89,800.0
400063,Mumbai,same_day,Tata1mg,hospital_adjacent,5795,4,1,0.679,1,1,1,0.958,0.481,0.693,0.324,0,0.815,9,0,0.0,124.06,800.0
751001,Bhubaneswar,scheduled,Netmeds,hospital_adjacent,3748,15,0,0.615,11,0,0,0.598,0.661,0.412,0.783,1,0.217,2,0,0.0,65.29,562.0
411001,Pune,same_day,Apollo24x7,commercial,3727,10,0,0.891,35,0,1,0.475,0.568,0.485,0.046,0,0.166,12,0,0.0,80.42,559.0
380015,Ahmedabad,scheduled,Netmeds,commercial,4666,20,0,0.401,14,0,0,0.242,0.86,0.597,0.051,0,0.928,9,0,0.0,66.88,700.0
751010,Bhubaneswar,scheduled,Netmeds,hospital_adjacent,4968,21,0,0.886,3,1,0,0.573,0.702,0.373,0.73,0,0.153,1,2,0.06,58.08,745.0
226001,Lucknow,same_day,Tata1mg,commercial,5271,9,0,0.914,8,0,0,0.574,0.822,0.756,0.014,0,0.571,4,3,0.09,82.43,791.0
560047,Bengaluru,same_day,Apollo24x7,residential,5422,7,0,0.79,1,1,0,0.331,0.254,0.375,0.058,0,0.487,4,2,0.06,69.21,800.0
600002,Chennai,same_day,PharmEasy,residential,4520,9,0,0.974,32,0,0,0.684,0.715,0.526,0.557,1,0.157,11,3,0.09,75.64,678.0
411014,Pune,same_day,Tata1mg,commercial,3679,3,1,0.618,49,1,0,0.39,0.546,0.455,0.065,0,0.68,4,0,0.0,83.75,552.0
500038,Hyderabad,hyperlocal,Apollo24x7,hospital_adjacent,6597,11,0,0.847,8,1,1,0.577,0.748,0.575,0.094,0,0.422,2,0,0.0,221.12,800.0
345001,Jaisalmer,scheduled,PharmEasy,industrial,2706,17,0,0.928,71,0,0,0.037,0.949,0.213,0.001,0,0.255,12,0,0.0,27.42,406.0
560047,Bengaluru,hyperlocal,Tata1mg,commercial,5534,14,0,0.847,14,1,1,0.399,0.275,0.379,0.026,0,0.179,2,3,0.09,98.24,800.0
226003,Lucknow,same_day,Tata1mg,commercial,4297,10,0,0.899,3,1,0,0.627,0.838,0.817,0.06,0,0.227,12,4,0.12,71.33,645.0
400022,Mumbai,scheduled,Netmeds,residential,3118,19,0,0.887,31,0,0,0.581,0.412,0.525,0.301,0,0.377,12,0,0.0,55.55,468.0
400012,Mumbai,hyperlocal,Tata1mg,hospital_adjacent,5561,15,0,0.767,2,0,1,0.89,0.469,0.629,0.299,0,0.99,6,3,0.09,162.32,800.0
600020,Chennai,hyperlocal,Tata1mg,hospital_adjacent,4729,13,0,0.831,14,0,0,0.82,0.803,0.576,0.598,1,0.946,9,1,0.03,158.9,709.0
400022,Mumbai,scheduled,Netmeds,residential,3480,18,0,0.823,22,0,0,0.536,0.453,0.574,0.266,0,0.921,6,2,0.06,56.16,522.0
411021,Pune,same_day,Apollo24x7,residential,5269,8,0,0.468,18,0,0,0.402,0.543,0.396,0.057,0,0.731,4,3,0.09,79.34,790.0
560038,Bengaluru,hyperlocal,Apollo24x7,hospital_adjacent,4617,12,0,0.869,2,0,0,0.715,0.305,0.455,0.052,0,0.784,6,3,0.09,113.68,693.0
462016,Bhopal,same_day,PharmEasy,residential,5255,13,0,0.746,10,0,0,0.288,0.679,0.459,0.054,0,0.54,4,1,0.03,80.88,788.0
302003,Jaipur,same_day,Apollo24x7,commercial,4353,5,0,0.766,28,0,0,0.2,0.934,0.504,0.006,0,0.973,9,2,0.06,81.93,653.0
411021,Pune,same_day,Tata1mg,commercial,4520,8,0,0.617,10,0,1,0.424,0.542,0.466,0.042,0,0.346,3,4,0.12,75.35,678.0
560076,Bengaluru,hyperlocal,Apollo24x7,hospital_adjacent,6525,14,0,0.974,11,0,0,0.813,0.308,0.46,0.095,0,0.305,1,0,0.0,184.56,800.0
400068,Mumbai,same_day,Tata1mg,commercial,4905,11,0,0.817,15,0,1,0.673,0.488,0.61,0.283,0,0.972,8,2,0.06,99.87,736.0
380001,Ahmedabad,same_day,PharmEasy,residential,4585,7,0,0.86,8,0,0,0.324,0.886,0.621,0.131,0,0.824,7,1,0.03,84.34,688.0
641004,Coimbatore,scheduled,Tata1mg,residential,3371,21,0,0.59,1,0,1,0.275,0.61,0.301,0.173,0,0.723,10,2,0.06,62.48,506.0
411006,Pune,same_day,Tata1mg,commercial,4587,11,0,0.653,31,0,1,0.633,0.549,0.477,0.049,0,0.308,1,1,0.03,87.69,688.0
110092,Delhi,same_day,Tata1mg,residential,4679,7,0,0.334,20,0,0,0.696,0.91,0.941,0.038,0,0.296,2,0,0.0,85.6,702.0
751010,Bhubaneswar,scheduled,Netmeds,industrial,3213,18,0,0.525,2,0,0,0.547,0.689,0.329,0.697,0,0.995,9,0,0.0,69.66,482.0
600096,Chennai,same_day,PharmEasy,hospital_adjacent,4387,7,0,0.663,7,0,1,0.448,0.735,0.511,0.502,0,0.317,11,0,0.0,104.0,658.0
380009,Ahmedabad,scheduled,PharmEasy,hospital_adjacent,3066,15,0,0.588,11,1,1,0.483,0.902,0.656,0.072,0,0.423,11,2,0.06,67.76,460.0
302012,Jaipur,same_day,Apollo24x7,residential,5101,8,0,0.315,35,1,0,0.236,0.916,0.526,0.0,0,0.426,11,0,0.0,80.66,765.0
400050,Mumbai,same_day,PharmEasy,commercial,3981,7,0,0.891,5,0,0,0.414,0.409,0.502,0.306,1,0.49,10,0,0.0,88.28,597.0
411021,Pune,scheduled,Netmeds,commercial,4646,14,0,0.731,1,0,0,0.356,0.524,0.382,0.044,0,0.572,4,0,0.0,53.71,697.0
600020,Chennai,same_day,PharmEasy,residential,3513,7,0,0.824,5,0,0,0.894,0.77,0.562,0.583,1,0.46,5,0,0.0,103.2,527.0
641041,Coimbatore,scheduled,PharmEasy,commercial,3946,18,0,0.706,22,0,0,0.221,0.649,0.243,0.176,0,0.27,2,0,0.0,49.18,592.0
500001,Hyderabad,same_day,PharmEasy,industrial,4951,10,0,0.888,7,1,0,0.548,0.76,0.581,0.073,0,0.423,3,0,0.0,85.56,743.0
400078,Mumbai,hyperlocal,Apollo24x7,industrial,5648,14,0,0.748,2,0,0,0.715,0.48,0.601,0.296,0,0.258,1,4,0.12,100.9,800.0
462016,Bhopal,scheduled,Netmeds,residential,4028,21,0,0.823,19,0,0,0.324,0.693,0.489,0.0,0,0.979,8,0,0.0,58.66,604.0
110006,Delhi,hyperlocal,Apollo24x7,hospital_adjacent,4230,14,0,0.78,1,0,1,0.749,0.905,0.97,0.051,0,0.859,6,1,0.03,176.01,634.0
500016,Hyderabad,hyperlocal,Apollo24x7,hospital_adjacent,5113,14,0,0.893,8,0,0,0.51,0.673,0.533,0.114,0,0.812,9,0,0.0,134.47,767.0
226003,Lucknow,same_day,Tata1mg,industrial,4205,7,0,0.673,24,1,0,0.56,0.843,0.795,0.049,0,0.343,2,1,0.03,85.43,631.0
560076,Bengaluru,same_day,PharmEasy,residential,5060,8,0,0.46,8,0,0,0.78,0.335,0.416,0.026,0,0.907,9,2,0.06,87.94,759.0
226016,Lucknow,scheduled,Tata1mg,commercial,4258,20,0,0.9,14,0,0,0.633,0.847,0.801,0.027,0,0.403,12,4,0.12,52.18,639.0
110092,Delhi,same_day,Tata1mg,residential,4930,9,0,0.652,28,0,0,0.651,0.919,0.98,0.047,0,0.524,4,1,0.03,89.37,740.0
400068,Mumbai,same_day,PharmEasy,hospital_adjacent,5515,4,1,0.611,1,0,1,0.825,0.441,0.665,0.274,0,0.418,3,0,0.0,105.34,800.0
600040,Chennai,hyperlocal,Apollo24x7,industrial,6504,9,0,0.266,8,1,1,0.556,0.736,0.449,0.58,0,0.852,7,0,0.0,250.0,800.0
345002,Jaisalmer,scheduled,Netmeds,residential,4345,18,0,0.876,40,0,1,0.043,0.944,0.152,0.0,0,0.789,9,1,0.03,62.66,652.0
400001,Mumbai,same_day,Apollo24x7,residential,4417,10,0,0.56,26,0,0,0.773,0.467,0.597,0.289,1,0.568,5,1,0.03,92.01,663.0
700027,Kolkata,hyperlocal,Apollo24x7,hospital_adjacent,4873,11,0,0.725,23,0,0,0.769,0.624,0.714,0.385,0,0.776,9,0,0.0,145.72,731.0
641001,Coimbatore,scheduled,Netmeds,residential,5061,21,0,0.769,27,0,0,0.321,0.669,0.276,0.196,0,0.739,9,1,0.03,53.92,759.0
700012,Kolkata,same_day,Apollo24x7,commercial,5669,10,0,0.594,5,1,1,0.85,0.673,0.718,0.412,1,0.368,1,1,0.03,111.02,800.0
440022,Nagpur,same_day,Tata1mg,commercial,3585,8,0,0.771,30,0,0,0.386,0.805,0.501,0.05,0,0.436,3,0,0.0,78.35,538.0
560034,Bengaluru,same_day,PharmEasy,residential,5346,6,0,0.678,32,0,0,0.558,0.319,0.385,0.024,0,0.43,1,1,0.03,70.57,800.0
560001,Bengaluru,same_day,Tata1mg,industrial,4397,6,0,0.624,27,0,1,0.36,0.282,0.41,0.028,0,0.783,8,1,0.03,90.5,660.0
700046,Kolkata,hyperlocal,PhonePePincode,hospital_adjacent,5956,11,0,0.519,24,0,0,0.868,0.707,0.752,0.422,1,0.721,6,1,0.03,155.08,800.0
560034,Bengaluru,scheduled,Netmeds,hospital_adjacent,4632,24,0,0.945,6,0,0,0.562,0.273,0.421,0.073,0,0.371,11,3,0.09,51.86,695.0
411006,Pune,same_day,Tata1mg,residential,5257,8,0,0.9,32,0,0,0.631,0.576,0.481,0.067,0,0.417,3,0,0.0,79.3,789.0
560001,Bengaluru,same_day,PharmEasy,hospital_adjacent,3766,10,0,0.794,1,0,0,0.371,0.242,0.389,0.013,0,0.473,5,3,0.09,74.5,565.0
411045,Pune,same_day,Apollo24x7,commercial,4692,4,1,0.623,27,0,0,0.527,0.566,0.474,0.035,0,0.781,7,0,0.0,87.11,704.0
226010,Lucknow,scheduled,Netmeds,residential,4817,15,0,0.677,9,0,1,0.49,0.805,0.732,0.055,0,0.297,11,3,0.09,59.39,723.0
700001,Kolkata,hyperlocal,PhonePePincode,hospital_adjacent,4883,16,0,0.565,10,0,1,0.76,0.627,0.693,0.434,1,0.937,8,0,0.0,192.25,732.0
226016,Lucknow,same_day,PharmEasy,hospital_adjacent,4807,6,0,0.674,20,0,1,0.638,0.836,0.752,0.052,0,0.573,5,2,0.06,109.3,721.0
400053,Mumbai,same_day,Tata1mg,hospital_adjacent,4426,4,1,0.739,23,0,0,0.574,0.432,0.559,0.31,0,0.224,11,0,0.0,83.37,664.0
751001,Bhubaneswar,scheduled,PharmEasy,residential,5261,25,0,0.745,7,0,0,0.652,0.691,0.374,0.777,1,0.743,7,2,0.06,66.07,789.0
380054,Ahmedabad,scheduled,PharmEasy,commercial,3923,21,0,0.721,39,0,0,0.231,0.842,0.547,0.091,0,0.962,9,0,0.0,63.12,588.0
700046,Kolkata,scheduled,Netmeds,residential,5985,19,0,0.523,41,0,1,0.813,0.632,0.762,0.427,1,0.263,2,2,0.06,67.86,800.0
226003,Lucknow,scheduled,Netmeds,hospital_adjacent,2967,18,0,0.676,47,0,0,0.589,0.839,0.809,0.034,0,0.865,8,0,0.0,42.3,445.0
226001,Lucknow,scheduled,Netmeds,residential,4352,22,0,0.828,19,0,0,0.509,0.799,0.768,0.056,0,0.717,10,1,0.03,59.82,653.0
400064,Mumbai,same_day,Tata1mg,residential,4625,11,0,0.468,23,0,1,0.943,0.492,0.659,0.272,0,0.232,1,2,0.06,90.49,694.0
500016,Hyderabad,same_day,Tata1mg,commercial,5684,11,0,0.729,26,1,0,0.479,0.693,0.53,0.089,0,0.28,1,0,0.0,79.52,800.0
400053,Mumbai,same_day,Tata1mg,commercial,4853,12,0,0.634,19,1,0,0.618,0.467,0.576,0.288,0,0.248,12,2,0.06,72.46,728.0
345001,Jaisalmer,scheduled,PharmEasy,commercial,3447,12,0,0.704,4,0,0,0.09,0.925,0.169,0.0,0,0.152,11,4,0.12,44.21,517.0
560001,Bengaluru,same_day,PharmEasy,industrial,4664,6,0,0.62,47,1,0,0.337,0.28,0.394,0.059,0,0.708,4,1,0.03,71.23,700.0
345001,Jaisalmer,same_day,PharmEasy,residential,4516,11,0,0.66,5,0,0,0.101,0.991,0.217,0.018,0,0.401,1,0,0.0,80.04,677.0
400022,Mumbai,same_day,Apollo24x7,hospital_adjacent,5170,9,0,0.857,18,0,1,0.557,0.417,0.592,0.293,0,0.475,10,1,0.03,96.84,776.0
641004,Coimbatore,scheduled,Netmeds,commercial,3236,21,0,0.822,11,1,1,0.265,0.627,0.276,0.167,0,0.731,10,0,0.0,65.35,485.0
400078,Mumbai,hyperlocal,Apollo24x7,hospital_adjacent,5165,15,0,0.798,2,0,0,0.785,0.471,0.634,0.312,0,0.527,10,0,0.0,130.45,775.0
751010,Bhubaneswar,same_day,Apollo24x7,residential,4354,8,0,0.723,22,0,1,0.513,0.678,0.343,0.738,0,0.232,12,1,0.03,86.64,653.0
302012,Jaipur,same_day,Tata1mg,residential,4360,10,0,0.251,19,0,1,0.231,0.902,0.591,0.015,0,0.848,9,1,0.03,98.38,654.0
440022,Nagpur,same_day,PharmEasy,residential,5643,9,0,0.787,12,0,0,0.378,0.799,0.503,0.037,0,0.956,6,0,0.0,91.39,800.0
700001,Kolkata,scheduled,PharmEasy,residential,3662,18,0,0.433,8,0,1,0.826,0.701,0.732,0.433,1,0.776,9,1,0.03,84.15,549.0
380001,Ahmedabad,same_day,PharmEasy,residential,5892,8,0,0.778,1,1,0,0.28,0.907,0.632,0.118,0,0.382,1,2,0.06,80.84,800.0
110006,Delhi,same_day,PharmEasy,commercial,4895,9,0,0.767,19,0,0,0.759,0.909,0.962,0.029,0,0.952,9,0,0.0,103.71,734.0
641001,Coimbatore,scheduled,PharmEasy,industrial,4030,14,0,0.737,15,1,0,0.257,0.652,0.326,0.186,0,0.72,6,0,0.0,56.55,604.0
380001,Ahmedabad,same_day,Tata1mg,residential,5396,9,0,0.557,19,0,0,0.255,0.898,0.649,0.068,0,0.234,1,4,0.12,68.59,800.0
400001,Mumbai,hyperlocal,Tata1mg,hospital_adjacent,5593,14,0,0.811,10,0,1,0.681,0.455,0.615,0.284,1,0.974,9,0,0.0,169.86,800.0
440010,Nagpur,scheduled,Netmeds,hospital_adjacent,3408,16,0,0.877,38,0,0,0.498,0.845,0.554,0.019,0,0.253,3,1,0.03,55.83,511.0
380015,Ahmedabad,scheduled,PharmEasy,residential,2504,12,0,0.828,1,1,0,0.242,0.876,0.566,0.055,0,0.273,3,1,0.03,31.23,376.0
